iter	Passed	Remaining
249	6381	19145
250	6408	19121
251	6431	19091
252	6457	19066
253	6482	19038
254	6504	19002
255	6528	18974
256	6554	18948
257	6579	18923
258	6605	18897
259	6631	18872
260	6655	18844
261	6680	18817
262	6705	18790
263	6730	18764
264	6754	18734
265	6780	18710
266	6805	18683
267	6830	18656
268	6852	18620
269	6877	18595
270	6904	18572
271	6929	18546
272	6955	18522
273	6980	18496
274	7004	18467
275	7029	18440
276	7055	18414
277	7080	18389
278	7105	18361
279	7131	18338
280	7157	18313
281	7179	18279
282	7204	18254
283	7229	18226
284	7254	18200
285	7281	18179
286	7306	18152
287	7333	18129
288	7358	18104
289	7384	18078
290	7408	18050
291	7432	18021
292	7458	17995
293	7483	17969
294	7508	17944
295	7531	17912
296	7552	17876
297	7579	17854
298	7603	17827
299	7628	17800
300	7655	17776
301	7680	17751
302	7706	17726
303	7733	17705
304	7758	17679
305	7782	17650
306	7808	17625
307	7833	17599
308	7859	17574
309	7883	17547
310	7910	17524
311	7935	17498
312	7956	17464
313	7982	17438
314	8006	17409
315	8030	17382
316	8056	17359
317	8081	17332
318	8106	17306
319	8134	17284
320	8160	17261
321	8186	17236
322	8211	17212
323	8237	17187
324	8263	17162
325	8290	17141
326	8317	17117
327	8342	17091
328	8365	17062
329	8391	17036
330	8416	17010
331	8441	16984
332	8467	16959
333	8491	16933
334	8517	16907
335	8542	16882
336	8567	16855
337	8592	16828
338	8632	16831
339	8657	16806
340	8683	16780
341	8708	16755
342	8734	16730
343	8757	16701
344	8784	16677
345	8810	16652
346	8835	16627
347	8861	16602
348	8885	16575
349	8911	16549
350	8937	16525
351	8962	16499
352	8988	16475
353	9013	16448
354	9040	16424
355	9065	16398
356	9090	16372
357	9116	16347
358	9141	16321
359	9167	16298
360	9192	16271
361	9217	16246
362	9240	16216
363	9266	16191
364	9292	16165
365	9317	16139
366	9341	16112
367	9367	16087
368	9392	16061
369	9418	16037
370	9444	16012
371	9469	15986
372	9494	15959
373	9521	15936
374	9547	15912
375	9573	15887
376	9597	15859
377	9623	15835
378	9649	15810
379	9674	15785
380	9699	15759
381	9725	15733
382	9750	15707
383	9776	15683
384	9801	15657
385	9826	15631
386	9852	15605
387	9876	15578
388	9901	15552
389	9927	15527
390	9953	15502
391	9978	15476
392	10004	15451
393	10029	15425
394	10054	15399
395	10079	15373
396	10103	15345
397	10129	15320
398	10155	15297
399	10181	15271
400	10206	15246
401	10232	15222
402	10257	15194
403	10283	15171
404	10309	15145
405	10334	15120
406	10360	15095
407	10386	15071
408	10414	15048
409	10440	15024
410	10466	14998
411	10492	14975
412	10519	14950
413	10544	14925
414	10569	14899
415	10595	14874
416	10621	14849
417	10647	14824
418	10673	14800
419	10695	14769
420	10723	14747
421	10748	14721
422	10773	14695
423	10798	14670
424	10824	14644
425	10848	14617
426	10873	14591
427	10898	14565
428	10922	14538
429	10949	14513
430	10974	14488
431	11000	14463
432	11026	14438
433	11051	14412
434	11076	14386
435	11099	14358
436	11126	14335
437	11152	14309
438	11178	14285
439	11204	14259
440	11229	14233
441	11254	14208
442	11281	14184
443	11307	14159
444	11333	14134
445	11359	14110
446	11385	14084
447	11412	14061
448	11438	14036
449	11462	14009
450	11487	13983
451	11514	13960
452	11541	13936
453	11565	13909
454	11591	13884
455	11607	13847
456	11634	13823
457	11660	13799
458	11687	13775
459	11713	13750
460	11738	13725
461	11766	13702
462	11791	13676
463	11813	13646
464	11838	13620
465	11864	13595
466	11885	13565
467	11911	13540
468	11938	13516
469	11963	13490
470	11988	13464
471	12013	13439
472	12040	13414
473	12065	13388
474	12091	13364
475	12118	13340
476	12144	13315
477	12169	13289
478	12194	13264
479	12220	13238
480	12245	13212
481	12270	13187
482	12295	13161
483	12321	13135
484	12343	13107
485	12368	13081
486	12393	13055
487	12418	13029
488	12444	13004
489	12470	12979
490	12496	12954
491	12523	12930
492	12546	12902
493	12573	12878
494	12599	12853
495	12625	12828
496	12651	12803
497	12677	12779
498	12702	12753
499	12728	12728
500	12753	12703
501	12780	12678
502	12805	12652
503	12831	12627
504	12856	12602
505	12883	12578
506	12909	12552
507	12934	12526
508	12959	12501
509	12985	12476
510	13011	12450
511	13036	12425
512	13061	12399
513	13085	12372
514	13112	12348
515	13138	12323
516	13164	12298
517	13189	12272
518	13216	12249
519	13243	12224
520	13268	12199
521	13296	12175
522	13321	12149
523	13345	12123
524	13371	12097
525	13397	12073
526	13423	12047
527	13447	12021
528	13472	11995
529	13499	11971
530	13521	11942
531	13544	11915
532	13569	11889
533	13591	11861
534	13617	11836
535	13644	11811
536	13669	11785
537	13694	11759
538	13719	11734
539	13744	11708
540	13770	11683
541	13795	11657
542	13821	11632
543	13847	11607
544	13872	11581
545	13898	11556
546	13924	11531
547	13949	11505
548	13974	11480
549	13998	11453
550	14019	11424
551	14044	11398
552	14071	11374
553	14097	11349
554	14125	11325
555	14150	11300
556	14175	11274
557	14201	11248
558	14225	11223
559	14252	11198
560	14278	11173
561	14304	11148
562	14329	11122
563	14355	11097
564	14382	11073
565	14409	11048
566	14437	11025
567	14464	11000
568	14490	10975
569	14517	10951
570	14543	10926
571	14565	10898
572	14591	10873
573	14616	10848
574	14642	10822
575	14668	10797
576	14694	10772
577	14719	10746
578	14744	10720
579	14770	10695
580	14794	10669
581	14821	10644
582	14846	10619
583	14873	10594
584	14898	10568
585	14924	10543
586	14948	10517
587	14974	10492
588	14999	10466
589	15025	10441
590	15051	10416
591	15077	10391
592	15104	10366
593	15129	10341
594	15156	10316
595	15180	10290
596	15206	10265
597	15231	10239
598	15257	10213
599	15282	10188
600	15309	10163
601	15334	10138
602	15359	10112
603	15384	10086
604	15410	10061
605	15435	10035
606	15460	10009
607	15485	9983
608	15511	9958
609	15536	9933
610	15560	9906
611	15585	9881
612	15611	9856
613	15638	9831
614	15664	9806
615	15690	9781
616	15717	9756
617	15742	9730
618	15768	9705
619	15794	9680
620	15820	9655
621	15845	9629
622	15871	9604
623	15896	9578
624	15921	9553
625	15946	9527
626	15971	9501
627	15997	9476
628	16023	9450
629	16048	9425
630	16071	9398
631	16097	9373
632	16122	9347
633	16148	9322
634	16175	9297
635	16201	9272
636	16229	9248
637	16256	9223
638	16280	9197
639	16305	9172
640	16331	9146
641	16357	9121
642	16383	9096
643	16410	9071
644	16436	9046
645	16456	9018
646	16483	8993
647	16509	8968
648	16535	8943
649	16561	8917
650	16585	8891
651	16610	8865
652	16637	8841
653	16662	8815
654	16694	8793
655	16722	8769
656	16748	8743
657	16774	8718
658	16801	8694
659	16828	8669
660	16855	8644
661	16880	8618
662	16908	8594
663	16934	8569
664	16959	8543
665	16980	8515
666	17004	8489
667	17028	8463
668	17053	8437
669	17079	8412
670	17105	8386
671	17131	8361
672	17157	8336
673	17183	8311
674	17209	8286
675	17235	8260
676	17260	8235
677	17286	8209
678	17312	8184
679	17338	8159
680	17364	8133
681	17389	8108
682	17414	8082
683	17439	8056
684	17466	8031
685	17492	8006
686	17516	7980
687	17540	7954
688	17566	7929
689	17593	7904
690	17615	7877
691	17641	7851
692	17667	7826
693	17705	7806
694	17732	7781
695	17753	7754
696	17778	7728
697	17805	7703
698	17829	7677
699	17853	7651
700	17879	7626
701	17904	7600
702	17928	7574
703	17953	7548
704	17977	7522
705	18003	7497
706	18031	7472
707	18057	7447
708	18079	7420
709	18105	7395
710	18131	7369
711	18156	7344
712	18181	7318
713	18206	7292
714	18232	7267
715	18258	7242
716	18284	7216
717	18310	7191
718	18336	7166
719	18362	7140
720	18387	7115
721	18413	7089
722	18440	7064
723	18466	7039
724	18493	7014
725	18519	6989
726	18545	6963
727	18568	6937
728	18591	6911
729	18616	6885
730	18641	6859
731	18665	6833
732	18691	6808
733	18717	6783
734	18754	6761
735	18780	6736
736	18806	6711
737	18831	6685
738	18858	6660
739	18885	6635
740	18910	6609
741	18933	6583
742	18959	6558
743	18985	6532
744	19010	6506
745	19037	6481
746	19064	6457
747	19091	6431
748	19117	6406
749	19144	6381
750	19170	6356
751	19195	6330
752	19221	6304
753	19246	6279
754	19271	6253
755	19297	6228
756	19323	6202
757	19348	6177
758	19371	6150
759	19397	6125
760	19420	6099
761	19447	6074
762	19470	6047
763	19495	6022
764	19521	5996
765	19546	5971
766	19571	5945
767	19596	5919
768	19623	5894
769	19648	5869
770	19674	5843
771	19700	5818
772	19725	5792
773	19750	5766
774	19775	5741
775	19800	5715
776	19826	5690
777	19851	5664
778	19877	5639
779	19903	5613
780	19928	5588
781	19953	5562
782	19980	5537
783	20005	5511
784	20032	5486
785	20058	5461
786	20083	5435
787	20108	5409
788	20135	5384
789	20160	5359
790	20188	5334
791	20213	5308
792	20239	5283
793	20265	5257
794	20291	5232
795	20317	5207
796	20347	5182
797	20373	5157
798	20399	5131
799	20426	5106
800	20454	5081
801	20478	5055
802	20505	5030
803	20531	5005
804	20558	4979
805	20585	4954
806	20610	4929
807	20634	4903
808	20660	4877
809	20686	4852
810	20712	4826
811	20737	4801
812	20763	4775
813	20789	4750
814	20814	4724
815	20838	4698
816	20863	4673
817	20888	4647
818	20915	4622
819	20941	4596
820	20965	4571
821	20991	4545
822	21016	4520
823	21042	4494
824	21068	4469
825	21095	4443
826	21119	4418
827	21145	4392
828	21169	4366
829	21194	4341
830	21221	4315
831	21248	4290
832	21272	4264
833	21297	4239
834	21323	4213
835	21349	4188
836	21375	4162
837	21399	4136
838	21423	4111
839	21450	4085
840	21475	4060
841	21500	4034
842	21526	4009
843	21551	3983
844	21576	3957
845	21600	3931
846	21626	3906
847	21652	3881
848	21678	3855
849	21702	3829
850	21728	3804
851	21753	3778
852	21778	3753
853	21804	3727
854	21829	3702
855	21855	3676
856	21881	3651
857	21906	3625
858	21932	3600
859	21956	3574
860	21981	3548
861	22006	3523
862	22033	3497
863	22059	3472
864	22085	3446
865	22110	3421
866	22136	3395
867	22163	3370
868	22189	3344
869	22215	3319
870	22240	3293
871	22262	3267
872	22287	3242
873	22312	3216
874	22337	3191
875	22363	3165
876	22390	3140
877	22415	3114
878	22442	3089
879	22467	3063
880	22493	3038
881	22518	3012
882	22543	2987
883	22570	2961
884	22596	2936
885	22621	2910
886	22648	2885
887	22673	2859
888	22699	2834
889	22724	2808
890	22749	2783
891	22775	2757
892	22801	2732
893	22828	2706
894	22854	2681
895	22879	2655
896	22904	2630
897	22931	2604
898	22956	2579
899	22981	2553
900	23007	2527
901	23031	2502
902	23058	2476
903	23084	2451
904	23111	2426
905	23136	2400
906	23162	2375
907	23188	2349
908	23213	2323
909	23240	2298
910	23265	2272
911	23291	2247
912	23317	2221
913	23342	2196
914	23369	2170
915	23394	2145
916	23421	2119
917	23446	2094
918	23472	2068
919	23498	2043
920	23523	2017
921	23549	1992
922	23575	1966
923	23601	1941
924	23626	1915
925	23650	1889
926	23675	1864
927	23701	1838
928	23727	1813
929	23752	1787
930	23778	1762
931	23804	1736
932	23829	1711
933	23853	1685
934	23879	1660
935	23905	1634
936	23932	1609
937	23957	1583
938	23982	1557
939	24007	1532
940	24034	1506
941	24060	1481
942	24086	1455
943	24112	1430
944	24139	1404
945	24166	1379
946	24192	1353
947	24218	1328
948	24245	1302
949	24271	1277
950	24297	1251
951	24323	1226
952	24348	1200
953	24373	1175
954	24398	1149
955	24423	1124
956	24448	1098
957	24475	1073
958	24501	1047
959	24528	1022
960	24553	996
961	24579	970
962	24604	945
963	24630	919
964	24655	894
965	24682	868
966	24707	843
967	24733	817
968	24759	792
969	24785	766
970	24811	741
971	24838	715
972	24863	689
973	24888	664
974	24914	638
975	24940	613
976	24966	587
977	24991	562
978	25018	536
979	25045	511
980	25069	485
981	25093	459
982	25120	434
983	25145	408
984	25173	383
985	25200	357
986	25224	332
987	25250	306
988	25276	281
989	25316	255
990	25341	230
991	25367	204
992	25391	178
993	25417	153
994	25442	127
995	25466	102
996	25492	76
997	25518	51
998	25542	25
999	25568	0
