iter	Logloss
214	0.5990507863
215	0.5990136726
216	0.5989803303
217	0.5989298947
218	0.598891051
219	0.598853087
220	0.5988338722
221	0.5987910049
222	0.5987584516
223	0.5987306648
224	0.5987028882
225	0.5986770067
226	0.5986332053
227	0.5986327232
228	0.5986000288
229	0.5985658197
230	0.5985249479
231	0.5985005706
232	0.5984757795
233	0.5984418381
234	0.5984193798
235	0.5983811164
236	0.5983373399
237	0.5983085376
238	0.5982795484
239	0.5982567044
240	0.5982389781
241	0.5982048214
242	0.5981799266
243	0.5981572101
244	0.5981406391
245	0.5981099659
246	0.5980907673
247	0.5980575928
248	0.598010088
249	0.5979768743
250	0.597937763
251	0.5979322845
252	0.5978924662
253	0.5978630157
254	0.5978399622
255	0.5978053159
256	0.5977774267
257	0.597748687
258	0.5977155375
259	0.5976844004
260	0.5976639286
261	0.5976394906
262	0.5976008254
263	0.5975886826
264	0.5975598081
265	0.5975139944
266	0.5974951857
267	0.5974717548
268	0.5974292134
269	0.5974043107
270	0.5973800016
271	0.5973569752
272	0.5973146838
273	0.5972792951
274	0.5972538928
275	0.5972355413
276	0.5972053029
277	0.5971684792
278	0.5971540421
279	0.5971362018
280	0.5971148338
281	0.5970833402
282	0.597067005
283	0.597019161
284	0.5969974749
285	0.5969793506
286	0.5969564501
287	0.5969284616
288	0.5969052171
289	0.5968782496
290	0.5968531164
291	0.5968079646
292	0.5967754973
293	0.5967439397
294	0.5967216873
295	0.596703023
296	0.5966809194
297	0.5966521521
298	0.5966016828
299	0.5965995887
300	0.5965731387
301	0.59654381
302	0.5965228741
303	0.5965010661
304	0.5964800316
305	0.5964433608
306	0.5964208096
307	0.5963891115
308	0.5963651366
309	0.5963285598
310	0.5962869654
311	0.5962414293
312	0.5962108909
313	0.5961882916
314	0.5961656351
315	0.5961519961
316	0.5961306748
317	0.5961120499
318	0.5960845652
319	0.5960636257
320	0.5960405291
321	0.5960236489
322	0.5960075382
323	0.5959607005
324	0.5959397565
325	0.5959269001
326	0.5959056944
327	0.5958802406
328	0.5958461951
329	0.5958094517
330	0.5957814468
331	0.5957611234
332	0.5957173182
333	0.5956995947
334	0.5956740262
335	0.5956323908
336	0.5956071992
337	0.5955751779
338	0.5955429726
339	0.5955210359
340	0.5954831708
341	0.595468717
342	0.5954437136
343	0.595427713
344	0.5954055756
345	0.5953756918
346	0.595361469
347	0.5953352444
348	0.5953058466
349	0.5953052572
350	0.5952901381
351	0.5952676295
352	0.5952356165
353	0.5952141554
354	0.5951833744
355	0.5951615492
356	0.5951460003
357	0.5951295405
358	0.595113296
359	0.5950855841
360	0.5950707584
